,Unnamed: 0,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
66,66,8121217001,04/08/2020,1084,PPP,"ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC",2525 GAMBELL ST Ste 405,ANCHORAGE,AK,99503-2827,04/08/2022,Paid in Full,24,100,2262000.0,2262000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-2827,AK-,126.0,493190.0,Unanswered,Unknown/NotStated,,2262000.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,1825612.72,12/22/2021
67,67,2790447403,05/06/2020,1084,PPP,ALASKA VILLAGE ELECTRIC,4831 EAGLE STREET,ANCHORAGE,AK,99503,08/12/2021,Paid in Full,24,100,2235797.0,2235797.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-0100,AK-,85.0,221122.0,Unanswered,Unknown/NotStated,,2235797.0,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,2260727.67,06/28/2021
68,68,4547717008,04/03/2020,1084,PPP,"FAMILY CENTERED SERVICES OF ALASKA, INC.",1825 Marika Rd.,FAIRBANKS,AK,99709-5521,07/21/2021,Paid in Full,24,100,2234000.0,2234000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,N,N,Existing or more than 2 years old,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99709-5521,AK-,145.0,621420.0,Unanswered,Unknown/NotStated,,2234000.0,,,,,,Non-Profit Organization,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Unanswered,Y,2260134.74,06/18/2021
69,69,8819357010,04/08/2020,1084,PPP,"FAIRWEATHER, LLC",301 Calista Court,ANCHORAGE,AK,99518-3000,07/08/2021,Paid in Full,24,100,2227299.54,2227299.54,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99518-3000,AK-,140.0,541618.0,Unanswered,Unknown/NotStated,204124.82,1880074.99,,143099.73,,,,Limited  Liability Company(LLC),3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,2252867.72,06/11/2021
70,70,3971517208,04/16/2020,1084,PPP,AHTNA PROFESSIONAL SERVICES INC,110 W 38th Ave Ste 200F,ANCHORAGE,AK,99503,07/16/2022,Paid in Full,60,100,2226432.0,2226432.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-0100,AK-,216.0,541513.0,Unanswered,Unknown/NotStated,,2226432.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,276225.87,05/25/2022
71,71,4374997208,04/27/2020,1084,PPP,KETCHIKAN INDIAN COMMUNITY,Ketchikan Indian Community,KETCHIKAN,AK,99901-5742,11/19/2021,Paid in Full,24,100,2750000.0,2210033.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,N,Existing or more than 2 years old,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901-5742,AK-,165.0,621910.0,Unanswered,Unknown/NotStated,,2210033.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Unanswered,,2241639.5,10/18/2021
72,72,4808587005,04/04/2020,1084,PPP,"ALASKA CENTRAL EXPRESS, INC.",5901 Lockheed Avenue,Anchorage,AK,99502-1094,07/21/2021,Paid in Full,24,100,2191500.0,2191500.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99502-1094,AK-,158.0,481112.0,Unanswered,Unknown/NotStated,,2191500.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,2216296.97,06/09/2021
73,73,6289427108,04/14/2020,1084,PPP,"KATMAI SUPPORT SERVICES, LLC","11001 OMalley Centre Drive , Suite 204",ANCHORAGE,AK,99515-3096,07/22/2021,Paid in Full,24,100,2191507.0,2191500.0,0.0,,225134,Truist Bank,214 N Tryon St,CHARLOTTE,NC,28202-1078,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99515-3096,AK-,255.0,561210.0,Unanswered,Unknown/NotStated,,2191500.0,,,,,,Limited  Liability Company(LLC),225134,Truist Bank,CHARLOTTE,NC,Unanswered,Unanswered,,2216763.12,06/11/2021
74,74,4103747310,04/29/2020,1084,PPP,"SAMSON TUG AND BARGE COMPANY, INC.",132 Lincoln St,SITKA,AK,99835-7540,07/20/2021,Paid in Full,24,100,2176746.92,2176746.92,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,N,Existing or more than 2 years old,SITKA,SITKA,AK,99835-7540,AK-,136.0,483113.0,White,Unknown/NotStated,,2176746.92,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Female Owned,Non-Veteran,,2200482.41,06/10/2021
75,75,6182457008,04/06/2020,1084,PPP,"PDC, INC",1028 AURORA DR.,FAIRBANKS,AK,99709-5507,12/21/2021,Paid in Full,24,100,2161000.0,2161000.0,0.0,,3498,Mt. McKinley Bank,500 Fourth Ave,FAIRBANKS,AK,99701-4714,R,N,N,Existing or more than 2 years old,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99709-5507,AK-,97.0,541330.0,Unanswered,Unknown/NotStated,,2161000.0,,,,,,Corporation,3498,Mt. McKinley Bank,FAIRBANKS,AK,Unanswered,Unanswered,,2185629.48,06/11/2021
76,76,4064957702,05/01/2020,1084,PPP,PREMIER ALASKA TOURS INC,1900 PREMIER CT,ANCHORAGE,AK,99502,11/19/2021,Paid in Full,24,100,2093019.0,2093019.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99502-0800,AK-,199.0,561520.0,Unanswered,Unknown/NotStated,,2093019.0,,,,,,Subchapter S Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,1923626.35,09/24/2021
77,77,4179237110,04/13/2020,1084,PPP,ANCHORAGE FRACTURE & ORTHOPEDIC CLINIC,3831 Piper Street Suite 220,ANCHORAGE,AK,99508-4634,07/08/2021,Paid in Full,24,100,2063313.95,2063313.95,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99508-4634,AK-,117.0,621111.0,Unanswered,Unknown/NotStated,41600.0,1702213.95,,78500.0,,230000.0,11000.0,Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,2087621.48,06/28/2021
78,78,4518947008,04/03/2020,1084,PPP,"SOURDOUGH EXPRESS, INC",PO Box 73398,FAIRBANKS,AK,99707,12/18/2021,Paid in Full,24,100,2019000.0,2019000.0,0.0,,3498,Mt. McKinley Bank,500 Fourth Ave,FAIRBANKS,AK,99701-4714,R,N,Y,Existing or more than 2 years old,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99707-0001,AK-,129.0,484110.0,Unanswered,Unknown/NotStated,,2019000.0,,,,,,Subchapter S Corporation,3498,Mt. McKinley Bank,FAIRBANKS,AK,Unanswered,Unanswered,,2042508.9,06/09/2021
79,79,1198817109,04/10/2020,1084,PPP,NEW HORIZONS TELECOM INC.,901 Cope Industrial Way,PALMER,AK,99645-6739,07/20/2021,Paid in Full,24,100,2009300.0,2009300.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,Y,N,Unanswered,PALMER,MATANUSKA SUSITNA,AK,99645-6739,AK-,64.0,237130.0,Unanswered,Unknown/NotStated,,2009300.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,2032200.52,06/11/2021
80,80,1305708310,01/16/2021,1084,PPS,FOUNTAINHEAD DEVELOPMENT INC,1501 Queens Way,Fairbanks,AK,99701-7456,03/10/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,3495,Denali State Bank,119 N Cushman St,FAIRBANKS,AK,99701-2879,R,Y,N,Existing or more than 2 years old,Fairbanks,FAIRBANKS NORTH STAR,AK,99701-7456,AK-,140.0,721110.0,Unanswered,Unknown/NotStated,1.0,1999995.0,,,,,,Subchapter S Corporation,3495,Denali State Bank,FAIRBANKS,AK,Male Owned,Unanswered,,2020666.67,02/02/2022
81,81,1528398702,03/27/2021,1084,PPS,NORTHERN ENERGY SERVICES LLC,6250 S Airpark Pl,Anchorage,AK,99502-1865,12/08/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99502-1865,AK-,204.0,237310.0,Unanswered,Unknown/NotStated,,2000000.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,2031616.44,11/04/2022
82,82,2340468702,03/28/2021,1084,PPS,WHITTIER SEAFOOD LLC,375 E WHITTIER ST,WHITTIER,AK,99693,,Exemption 4,60,100,2000000.0,2000000.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,R,N,N,Existing or more than 2 years old,WHITTIER,Chugach,AK,99693,AK-,216.0,114111.0,White,Not Hispanic or Latino,1.0,1999999.0,,,,,,Limited  Liability Company(LLC),9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,1894260.11,03/31/2023
83,83,2524238501,02/20/2021,1084,PPS,ALCAN ELECTRICAL AND ENGINEERING INC,6670 Arctic Spur Rd,Anchorage,AK,99518-1548,10/13/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99518-1548,AK-,92.0,238210.0,Unanswered,Unknown/NotStated,1.0,1999998.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,2011342.47,09/20/2021
84,84,3041178300,01/21/2021,1084,PPS,FAMILY CENTERED SERVICES OF ALASKA INC,1825 Marika Rd,Fairbanks,AK,99709-5521,04/08/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,N,N,Existing or more than 2 years old,Fairbanks,FAIRBANKS NORTH STAR,AK,99709-5521,AK-,169.0,624190.0,Unanswered,Unknown/NotStated,,2000000.0,,,,,,Non-Profit Organization,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,Y,2023068.49,03/28/2022
85,85,3582238406,02/05/2021,1084,PPS,COLVILLE INC.,4300 B St Ste 308,Anchorage,AK,99503-5933,12/10/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99503-5933,AK-,150.0,424720.0,White,Not Hispanic or Latino,1.0,1999996.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,2015342.47,11/17/2021
86,86,4955798310,01/23/2021,1084,PPS,ALLEN MARINE TOURS INC.,1512 Sawmill Creek Rd,Sitka,AK,99835-9704,02/10/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,N,Existing or more than 2 years old,Sitka,SITKA,AK,99835-9704,AK-,229.0,488310.0,Unanswered,Not Hispanic or Latino,1.0,1999995.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,2018849.32,01/12/2022
87,87,5377518309,01/25/2021,1084,PPS,FRESH ALE PUBS LIMITED LIABILITY COMPANY,3300 Old Seward Hwy,Anchorage,AK,99503-4129,11/06/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99503-4129,AK-,157.0,722511.0,White,Not Hispanic or Latino,1.0,1999996.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,2014356.16,10/22/2021
88,88,5805988710,04/03/2021,1084,PPS,FILM-ON PRODUCTIONS LIMITED LIABILITY,1317 W Northern Lights Blvd Ste 8,Anchorage,AK,99503-2399,12/10/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99503-2399,AK-,145.0,722511.0,White,Not Hispanic or Latino,1.0,1999996.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,2012493.15,11/22/2021
89,89,6275048401,02/10/2021,1084,PPS,MIDNIGHT MOON COMPANY INC.,6921 Brayton Dr,Anchorage,AK,99507-5601,12/04/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99507-5601,AK-,226.0,722514.0,Unanswered,Unknown/NotStated,,1999999.0,,,,,,Subchapter S Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Male Owned,Unanswered,,2015287.67,11/26/2021
90,90,6542748808,04/20/2021,1084,PPS,NANA WORLEY LLC,3700 Centerpoint Dr,Anchorage,AK,99503-5800,03/08/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,Y,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99503-5800,AK-,164.0,541330.0,Unanswered,Unknown/NotStated,1.0,1999997.0,,,,,,Limited  Liability Company(LLC),3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,2015945.21,02/09/2022
91,91,6744978805,04/20/2021,1084,PPS,"ALASKA TRAVEL ADVENTURES, INC.",9085 Glacier Hwy Ste 301,Juneau,AK,99801-8093,,Exemption 4,60,100,2000000.0,2000000.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,N,Existing or more than 2 years old,Juneau,JUNEAU,AK,99801-8093,AK-,271.0,721211.0,Unanswered,Unknown/NotStated,1.0,1999995.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Veteran,,1362449.2,01/03/2023
92,92,7761098503,03/06/2021,1084,PPS,NORTHERN HOSPITALITY GROUP INC,645 W 3rd Ave,Anchorage,AK,99501-2174,07/11/2023,Paid in Full,60,100,2000000.0,2000000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99501-2174,AK-,143.0,722511.0,White,Not Hispanic or Latino,1.0,1999995.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,2040957.09,05/23/2023
93,93,8143498600,03/24/2021,1084,PPS,AHTNA' T'AENE NENE',Mile 111.5 Richardson Highway,Copper Center,AK,99573,08/02/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,R,Y,Y,Existing or more than 2 years old,Copper Center,Copper River,AK,99573,AK-,142.0,621498.0,Unanswered,Unknown/NotStated,,2000000.0,,,,,,Non-Profit Organization,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,Y,2025698.63,07/21/2022
94,94,9231548302,01/30/2021,1084,PPS,COPPER RIVER SEAFOODS INC.,1118 E 5th Ave,Anchorage,AK,99501-2759,01/13/2023,Paid in Full,60,100,2000000.0,2000000.0,0.0,,119918,East West Bank,"135 N Los Robles Ave, 7th Fl",PASADENA,CA,91101-4525,U,N,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99501-2759,AK-,236.0,311710.0,Unanswered,Unknown/NotStated,1.0,1999998.0,,,,,,Corporation,119918,East West Bank,PASADENA,CA,Unanswered,Unanswered,,2037555.56,12/12/2022
95,95,2126508308,01/20/2021,1084,PPS,FAIRWEATHER LLC,301 Calista Ct,Anchorage,AK,99518-3000,11/05/2021,Paid in Full,60,100,1999987.0,1999987.0,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99518-3000,AK-,125.0,541690.0,Unanswered,Unknown/NotStated,1.0,1999985.0,,,,,,Limited  Liability Company(LLC),3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,2014178.69,10/19/2021
96,96,1624607207,04/15/2020,1084,PPP,THE ARC OF ANCHORAGE,2211 Arca Dr.,Anchorage,AK,99508,07/20/2021,Paid in Full,24,100,1991700.0,1991700.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99508-0002,AK-,229.0,623210.0,Unanswered,Unknown/NotStated,,1991700.0,,,,,,Non-Profit Organization,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,Y,2014181.65,06/11/2021
97,97,7467618405,02/12/2021,1084,PPS,THE ARC OF ANCHORAGE,2211 Arca Dr,Anchorage,AK,99508-3462,11/06/2021,Paid in Full,60,100,1991700.0,1991700.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99508-3462,AK-,221.0,624190.0,Unanswered,Unknown/NotStated,1.0,1991697.0,,,,,,Non-Profit Organization,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,Y,2005068.95,10/25/2021
98,98,4947078306,01/23/2021,1084,PPS,SAMSON ELECTRIC INC.,3125 N Van Horn Rd,Fairbanks,AK,99701-7321,11/19/2021,Paid in Full,60,100,1991300.0,1991300.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,Y,N,Existing or more than 2 years old,Fairbanks,FAIRBANKS NORTH STAR,AK,99701-7321,AK-,93.0,238210.0,Unanswered,Unknown/NotStated,,1991300.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,2005648.27,10/25/2021
99,99,6176027110,04/14/2020,1084,PPP,"SAMSON ELECTRIC, INC",3125 N. Van Horn Rd,FAIRBANKS,AK,99701,06/24/2021,Paid in Full,24,100,1991300.0,1991300.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,Y,N,Unanswered,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701-1401,AK-,88.0,238210.0,Unanswered,Unknown/NotStated,,1991300.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,2012740.57,05/21/2021
